RSSD9001,RSSD9010,RSSD9348,RSSD9999
37051,OAKWOOD BK,5280133,20200331
37341,BANK OF ONTARIO,1209592,20200331
37435,UNITED BK,1082777,20200331
37640,GERMAN AMER BK,1098620,20200331
37659,FARMERS ST BK,0,20200331
37949,BANK OF RANTOUL,1138526,20200331
38740,OWEN CTY ST BK,1207954,20200331
39327,CALVIN B TAYLOR BKG CO BERLIN,2391300,20200331
39756,NBC OKLAHOMA,1066003,20200331
40033,RICHTON B&TC,2782609,20200331
40499,HARBORONE BK,4973353,20200331
40855,ESB BK,1127687,20200331
41218,NATIONAL AUSTRALIA BK NY BR,0,20200331
41553,FIRST ST BK,0,20200331
41629,PIONEER BK,1076422,20200331
41825,MIDDLETOWN VALLEY BK,5292707,20200331
41955,BANK OF NEWMAN GROVE,1058688,20200331
42037,PEOPLES EXCH BK,1138870,20200331
42354,COMMERCIAL NB,1103207,20200331
42372,FIRST FSB OF LINCOLNTON,0,20200331
42420,FIRST COMMONWEALTH BK,1071306,20200331
42448,FIRST NB,1119383,20200331
42457,COMMERCIAL BK OF NELSON,1053142,20200331
43052,SECURITY ST BK,1128497,20200331
43351,PEOPLES ST BK,5301140,20200331
43856,MINERS NB OF EVELETH,0,20200331
43959,BRIDGE CITY ST BK,1131899,20200331
44040,FIRST NB OF MONTEREY,0,20200331
44433,INTERCREDIT BK NA,0,20200331
44741,CITIZENS BK,1207208,20200331
44750,CITIZENS BK OF NEWBURG,1118621,20200331
44769,WOORI BK LA BR,0,20200331
44929,FIRST NB,1137891,20200331
45038,STATE BK DAVIS,1137453,20200331
45047,FIRST NB AT PARIS,1099805,20200331
45056,PLATTE VALLEY BK,4045027,20200331
45430,JOHNSON CTY BK,0,20200331
45458,VINTAGE BK KS,4399337,20200331
45551,BANK MIDWEST,1203714,20200331
45560,JEFFERSON BK,1109290,20200331
45775,IRON WKRS SVG BK,0,20200331
46053,STATE BK OF FARIBAULT,1126158,20200331
46941,FARMERS B&TC,1098554,20200331
47247,DART BK,3726196,20200331
47256,COMMUNITY FNCL BK,0,20200331
47452,FIRST NB,1982176,20200331
47500,CLAREMONT SVG BK,0,20200331
48057,PRAIRIE BK OF KS,1980592,20200331
48150,FRANKLIN ST BK,0,20200331
48374,FIRST FINANCIAL BK,2568102,20200331
48440,CLEVELAND ST BK,1202865,20200331
49054,COMMERCE BK,2452630,20200331
49148,RUSHVILLE ST BK,1208652,20200331
49241,RELYANCE BK NA,2267665,20200331
49652,FIRST BK,1055351,20200331
49858,BANK OF SOUTH TX,0,20200331
49951,FIRST SECURITY BK,0,20200331
50144,STATE BK OF MEDORA,0,20200331
50461,CALIFORNIA PACIFIC BK,0,20200331
50872,WINFIRST BK,1924804,20200331
51253,APEX BK,5009389,20200331
51356,LATIMER ST BK,1066964,20200331
51459,CENTERA BK,1057289,20200331
51842,FARMERS & MRCH UNION BK,2653071,20200331
52719,DEPOSITORY TC,0,20200331
52951,SECURITY ST BK OF OK,4414838,20200331
53051,BUCKHOLTS ST BK,0,20200331
54058,BANK OF TESCOTT,1841004,20200331
54656,CITIZENS ST BK,2112439,20200331
54973,AMERICAN SVG BK FSB,3842957,20200331
55336,METAIRIE B&TC,5164541,20200331
55635,CITIZENS SVG B&TC,3602227,20200331
55653,FIDELITY ST B&TC,1066526,20200331
55970,EVERGREEN FED BK,0,20200331
56258,CITIZENS B&TC HUTCHINSON MN,1121966,20200331
56351,VERABANK NA,1917600,20200331
56548,DMB CMNTY BK,1135628,20200331
56717,DIME BK,2065432,20200331
57040,FIRST NB AT DARLINGTON,0,20200331
57451,DAIRY ST BK,1126121,20200331
58225,FARMERS BK & SVG CO,1132814,20200331
58243,JOHNSON BK,1490701,20200331
58355,VANTAGE BK,4203425,20200331
58551,SECURITY ST BK,2180205,20200331
58636,CENTURY BK,2468275,20200331
58757,KENSINGTON BK,2359917,20200331
58971,WASHINGTON TR BK,1029464,20200331
59316,WAYNE BK,2365356,20200331
59352,CITIZENS NB,3137729,20200331
59370,FIRST SHORE FS&LA,0,20200331
59754,BANK OF WYANDOTTE,1063105,20200331
60143,COMERICA BK,1199844,20200331
60330,PEOPLES BK OF AL,1136595,20200331
60545,HOME T&SB,1427033,20200331
